what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452667669188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667670950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667758728
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452667761178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452667772087
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452667773053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452667774471
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1452667776028
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1452667777565
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452667778435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667778738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667781572
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452667782760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452667783708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667785537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667785982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667854887
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452667855597
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452667860468
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452667861099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667861378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667865546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452667867537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452667869197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667870298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667963857
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452667964588
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452667973038
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452667973691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667973989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667977008
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452667977868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452667978859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667981568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452667981927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668022352
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452668024107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452668029707
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452668030398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668030698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668035556
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452668037120
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452668038248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668039534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668107507
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452668108405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452668114898
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452668115795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668116095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668119201
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452668120236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452668121208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668122864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668123270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668235924
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452668321644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452668326395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452668327425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1452668330192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452668362078
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452668363267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668363567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668366898
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452668368114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452668369165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668371218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668371707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668493475
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452668494250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452668514772
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452668515403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668515725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668518448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668521388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668579116
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452668580891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668581168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668587314
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452668588686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452668589648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668591348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668638588
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452668641390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452668643768
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452668644568
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668644868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668647557
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1452668648764
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1452668649787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668650959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668729067
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668729961
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1452668744991
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1452668745017
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1452668753507
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1452668754475
